concept,links,dep_articles
Cramer's rule,"[(4, 'Linear algebra', 1, 0), (79, 'System of linear equations', 1, 0), (233, 'Determinant', 1, 1), (262, 'Coefficient matrix', 1, 1), (288, 'Matrix (mathematics)', 1, 1), (410, 'Gabriel Cramer', 1, 2), (521, 'Colin Maclaurin', 1, 2), (861, 'Gaussian elimination', 2, 4), (916, 'Computational complexity', 2, 4), (1038, 'Numerically unstable', 2, 4), (861, 'Gaussian elimination', 2, 4)]",['System of linear equations']
Cross product,"[(3, 'Mathematics', 0, 0), (135, 'Binary operation', 0, 0), (159, 'Euclidean vector', 0, 0), (190, 'Orientation (vector space)', 0, 0), (199, 'Euclidean vector space', 0, 0), (338, 'Linearly independent vectors', 0, 1), (441, 'Perpendicular', 0, 1), (484, 'Normal (geometry)', 0, 1), (562, 'Physics', 0, 2), (571, 'Engineering', 0, 2), (588, 'Computer programming', 0, 2), (645, 'Dot product', 0, 3), (954, 'Parallelogram', 1, 2), (1123, 'Anticommutativity', 2, 2), (1173, 'Distributivity', 2, 2), (1319, 'Algebra over a field', 2, 2), (1127, 'Commutative', 2, 2), (1383, 'Associative', 2, 2), (1405, 'Lie algebra', 2, 2), (1450, 'Lie bracket', 2, 2), (1503, 'Metric space', 3, 2), (1513, 'Euclidean space', 3, 2), (1589, 'Orientation (mathematics)', 3, 2), (1606, 'Right-hand rule', 3, 2), (1714, 'Exterior algebra', 3, 2), (1786, 'Bivector', 3, 2), (1798, '2-form', 3, 2), (2258, 'Seven-dimensional cross product', 4, 6), (2328, 'Seven-dimensional cross product#Relation to the octonions', 4, 6), (2349, 'Jacobi identity', 4, 6), (2468, 'Space-time', 4, 6), (2488, '#Generalizations', 4, 6)]","['Binary operation', 'Euclidean vector', 'Orientation (vector space)', 'Euclidean vector space']"
Cylindrical coordinate system,"[(15, 'Coordinate system', 1, 0), (775, 'Line (mathematics)#Ray', 2, 4), (1178, 'Polar coordinates', 3, 3), (1585, 'Symmetry', 4, 1), (1716, 'Cylinder (geometry)', 4, 1), (1726, 'Electromagnetic fields', 4, 1), (1764, 'Electric current', 4, 1), (1807, 'Accretion disk', 4, 1)]",['Coordinate system']
Data transformation (statistics),"[(3, 'Statistics', 0, 0), (59, 'Deterministic system', 0, 0), (86, 'Function (mathematics)', 0, 0), (15, 'Data', 0, 0), (322, 'Statistical inference', 0, 1), (429, 'Statistical graphics', 0, 1), (503, 'Inverse function', 1, 3), (532, 'Continuous function', 1, 3), (695, 'Currency', 1, 3), (776, 'Logarithm', 1, 3)]","['Deterministic system', 'Function (mathematics)', 'Data']"
De Moivre's theorem,,[]
Definite matrix,"[(3, 'Mathematics', 0, 0), (68, 'Real number', 0, 0), (213, 'Column vector', 0, 0), (321, 'Transpose', 0, 0), (384, 'Hermitian matrix', 0, 1), (413, 'Complex matrix', 0, 1), (441, 'Conjugate transpose', 0, 1), (1242, 'Positive-definite quadratic form', 2, 2), (1278, 'Hermitian form', 2, 2), (1369, 'Inner product', 2, 2), (2350, 'Convex optimization', 6, 1), (2386, 'Function of several real variables', 6, 1), (2435, 'Differentiable function', 6, 1), (2463, 'Hessian matrix', 6, 1), (2350, 'Convex function', 6, 1)]","['Real number', 'Column vector', 'Transpose']"
Determinant,"[(3, 'Mathematics', 0, 0), (37, 'Scalar (mathematics)', 0, 0), (60, 'Function (mathematics)', 0, 0), (89, 'Square matrix', 0, 0), (159, 'Linear map', 0, 1), (268, 'Invertible matrix', 0, 2), (330, 'Linear isomorphism', 0, 2), (1006, 'Leibniz formula for determinants', 5, 4), (1230, 'Factorial', 5, 4), (1297, 'Laplace expansion', 5, 4), (1364, 'Linear combination', 5, 4), (1479, 'Gaussian elimination', 5, 4), (1568, 'Diagonal matrix', 5, 4), (1620, 'Elementary row operation', 5, 4), (1841, 'Identity matrix', 6, 2), (2230, 'Coefficient', 7, 5), (2248, 'System of linear equations', 7, 5), (2331, 'Cramer%27s rule', 7, 5), (2462, 'Characteristic polynomial', 7, 5), (2521, 'Eigenvalue', 7, 5), (2537, 'Geometry', 7, 5), (2572, 'Volume', 7, 5), (2598, 'Parallelepiped', 7, 5), (2660, 'Calculus', 7, 5), (2674, 'Exterior differential form', 7, 5), (2710, 'Jacobian determinant', 7, 5), (2750, 'Integration by substitution#Substitution for multiple variables', 7, 5), (2774, 'Multiple integral', 7, 5)]","['Scalar (mathematics)', 'Function (mathematics)', 'Square matrix']"
Diagonal,"[(3, 'Geometry', 0, 0), (29, 'Line segment', 0, 0), (54, 'Vertex (geometry)', 0, 0), (68, 'Polygon', 0, 0), (79, 'Polyhedron', 0, 0), (131, 'Edge (geometry)', 0, 0), (223, 'Ancient Greek', 0, 2), (392, 'Strabo', 0, 2), (406, 'Euclid', 0, 2), (464, 'Rhombus', 0, 2), (475, 'Cuboid', 0, 2), (549, 'Matrix algebra', 1, 1), (549, 'Matrix (math)', 1, 1)]","['Line segment', 'Vertex (geometry)', 'Polygon', 'Polyhedron', 'Edge (geometry)']"
Diagonal matrix,"[(4, 'Linear algebra', 1, 0), (31, 'Matrix (mathematics)', 1, 0), (83, 'Main diagonal', 1, 0), (138, 'Square matrices', 1, 0), (569, 'Identity matrix', 1, 3), (623, '#Scalar matrix', 1, 3), (701, 'Scaling matrix', 2, 2)]","['Matrix (mathematics)', 'Main diagonal', 'Square matrices']"
Diagonalizable group,"[(3, 'Mathematics', 0, 0), (19, 'Affine algebraic group', 0, 0), (80, 'Isomorphic', 0, 0), (96, 'Subgroup', 0, 0), (125, 'Diagonal matrices', 0, 0), (182, 'Field (mathematics)', 0, 1), (201, 'Splitting lemma', 0, 1), (376, 'Separable closure', 0, 3), (482, 'Torsion subgroup', 0, 5), (539, 'Category (mathematics)', 1, 2), (591, 'Equivalence of categories', 1, 2), (621, 'Finitely generated abelian group', 1, 2), (722, 'Characteristic (algebra)', 1, 2), (761, 'Poincar%C3%A9 duality', 1, 2), (971, 'Centralizer', 3, 2), (1054, 'Normalizer', 3, 2), (1136, 'Solvable group', 3, 2), (1199, 'Algebraic torus', 4, 3), (1267, 'Complex torus', 4, 3), (1367, 'Cartan subgroup', 4, 3)]","['Affine algebraic group', 'Isomorphic', 'Subgroup', 'Diagonal matrices']"
