concept,links,dep_articles
Exponent (disambiguation),"[(123, 'Operation (mathematics)', 1, 1)]",['Operation (mathematics)']
Exponential decay,"[(2, 'Quantity', 0, 0), (69, 'Proportionality (mathematics)', 0, 0), (166, 'Differential equation', 0, 1), (220, 'Lambda', 0, 1), (476, '#Solution of the differential equation', 2, 0)]","['Quantity', 'Proportionality (mathematics)']"
Exponential growth,"[(100, 'Rate (mathematics)#Of change', 0, 1), (129, 'Derivative', 0, 1), (179, 'Proportionality (mathematics)', 0, 1), (231, 'Function (mathematics)', 0, 2), (288, 'Exponential function', 0, 2), (421, 'Quadratic growth', 0, 2), (556, 'Exponential decay', 1, 2), (609, 'Domain of a function', 1, 2), (739, 'Geometric progression', 1, 2), (1056, 'Bacteria', 4, 6), (1066, 'Colony (biology)', 4, 6), (1461, 'Compound interest', 4, 6), (1498, 'Viral video', 4, 6), (1679, 'Logistic curve', 4, 6)]","['Rate (mathematics)#Of change', 'Derivative', 'Proportionality (mathematics)']"
Extrapolation,"[(3, 'Mathematics', 0, 0), (43, 'Estimation', 0, 0), (194, 'Interpolation', 0, 1), (302, 'Uncertainty', 0, 1), (410, 'https://en.wiktionary.orgmethod', 0, 2), (501, 'Experience', 0, 3), (803, 'Interior reconstruction', 0, 6)]",['Estimation']
Factorial,"[(775, 'Mathematics', 3, 3), (907, 'Product (mathematics)', 3, 4), (1561, 'Empty product', 3, 4), (1651, 'Indian mathematics', 4, 2), (1696, 'Jain literature', 4, 2), (1852, 'Combinatorics', 4, 2), (1921, 'Sequence', 4, 2), (1937, 'Permutation', 4, 2), (2045, 'Mathematical analysis', 4, 2), (2091, 'Power series', 4, 2), (2112, 'Exponential function', 4, 2), (2189, 'Algebra', 4, 2), (2198, 'Number theory', 4, 2), (2213, 'Probability theory', 4, 2), (2237, 'Computer science', 4, 2), (2372, 'Stirling%27s approximation', 5, 4), (2507, 'Exponential growth', 5, 4), (2527, 'Legendre%27s formula', 5, 4), (2596, 'Prime factorization', 5, 4), (2698, 'Daniel Bernoulli', 5, 4), (2719, 'Leonhard Euler', 5, 4), (2734, 'Interpolate', 5, 4), (2798, 'Complex number', 5, 4), (2861, 'Gamma function', 5, 4), (2980, 'Binomial coefficient', 6, 3), (3003, 'Double factorial', 6, 3), (3022, 'Falling factorial', 6, 3), (3042, 'Primorial', 6, 3), (3058, 'Subfactorial', 6, 3), (3160, 'Computer programming', 6, 3), (3209, 'Scientific calculator', 6, 3), (3464, 'Multiplication algorithm', 6, 3)]","['Product (mathematics)', 'Empty product']"
Fields Medal,"[(353, 'Mathematician', 2, 2), (397, 'International Congress of Mathematicians', 2, 2), (427, 'International Mathematical Union', 2, 2), (569, 'John Charles Fields', 2, 2), (693, 'List of prizes known as the Nobel or the highest honors of a field', 3, 2), (946, 'Academic Ranking of World Universities', 3, 2), (1099, 'IREG Observatory on Academic Ranking and Excellence', 3, 2), (1156, 'Abel Prize', 3, 2), (1508, 'John Lighton Synge', 4, 2), (1592, 'Lars Ahlfors', 5, 4), (1632, 'Jesse Douglas', 5, 4), (1853, 'Maryam Mirzakhani', 5, 4), (2163, 'Saint Petersburg', 6, 2), (2217, '2022 Russian invasion of Ukraine', 6, 2)]","['Mathematician', 'International Congress of Mathematicians', 'International Mathematical Union']"
Finite difference,"[(183, 'Derivative', 1, 2), (241, 'Finite difference method', 1, 2), (275, 'Numerical analysis', 1, 2), (297, 'Differential equation', 1, 2), (332, 'Boundary value problem', 1, 2), (361, 'Difference operator', 2, 0), (372, 'Operator (mathematics)', 2, 0), (634, 'Difference equation', 4, 3), (659, 'Functional equation', 4, 3), (745, 'Differential equation', 4, 3), (776, 'Derivative', 4, 3), (908, 'Recurrence relation#Relationship to difference equations narrowly defined', 4, 3), (1036, 'Numerical analysis', 5, 2), (1095, '#Relation with derivatives', 5, 2), (1388, 'Brook Taylor', 6, 6), (1495, 'George Boole', 6, 6), (1516, 'L. M. Milne-Thomson', 6, 6), (1548, '/w/index.php?title=K%C3%A1roly Jordan&action=edit&redlink=1', 6, 6), (1629, 'Jost B%C3%BCrgi', 6, 6), (1692, 'Isaac Newton', 6, 6), (1717, 'Calculus', 6, 6), (1799, 'Infinitesimal', 6, 6)]","['Derivative', 'Finite difference method', 'Numerical analysis', 'Differential equation', 'Boundary value problem']"
Finite field arithmetic,"[(3, 'Mathematics', 0, 0), (29, 'Arithmetic', 0, 0), (16, 'Finite field', 0, 0), (23, 'Field (mathematics)', 0, 0), (111, 'Element (mathematics)', 0, 0), (210, 'Rational number', 0, 0), (285, 'Cardinality', 1, 2), (347, 'Prime number', 1, 2), (371, 'Positive integer', 1, 3), (432, 'Isomorphism', 1, 3), (470, 'Characteristic (algebra)', 1, 3), (540, 'Dimension (vector space)', 1, 3), (572, 'Characteristic (algebra)#Case of fields', 1, 3), (661, 'Coding theory', 2, 1), (678, 'Linear block code', 2, 1), (705, 'BCH code', 2, 1), (719, 'Reed%E2%80%93Solomon error correction', 2, 1), (753, 'Cryptography', 2, 1), (789, 'Advanced Encryption Standard', 2, 1), (799, 'Advanced Encryption Standard', 2, 1), (863, 'Design of experiments', 2, 1)]","['Arithmetic', 'Finite field', 'Field (mathematics)', 'Element (mathematics)', 'Rational number']"
Focus (geometry),"[(3, 'Geometry', 0, 0), (121, 'Curve', 0, 0), (197, 'Conic section', 0, 1), (245, 'Circle', 0, 1), (253, 'Ellipse', 0, 1), (262, 'Parabola', 0, 1), (276, 'Hyperbola', 0, 1), (332, 'Cassini oval', 0, 2), (353, 'Cartesian oval', 0, 2), (416, 'N-ellipse', 0, 2)]",['Curve']
Formula,"[(168, 'Science', 1, 1), (320, 'Terminology', 1, 2), (358, 'Commensurability (philosophy of science)', 1, 2), (489, 'English plurals#Regular plurals', 2, 1), (542, 'Scientific Latin', 2, 1), (579, 'Latin influence in English', 2, 1)]",['Science']
Fredholm determinant,"[(3, 'Mathematics', 0, 0), (46, 'Complex-valued function', 0, 0), (29, 'Determinant', 0, 0), (128, 'Linear map', 0, 0), (163, 'Bounded operator', 0, 1), (186, 'Hilbert space', 0, 1), (222, 'Identity operator', 0, 1), (245, 'Trace-class operator', 0, 1), (299, 'Mathematician', 0, 2), (313, 'Erik Ivar Fredholm', 0, 2), (385, 'Mathematical physics', 1, 3), (441, 'G%C3%A1bor Szeg%C5%91', 1, 3), (455, 'Szeg%C5%91 limit theorems', 1, 3), (513, 'Lars Onsager', 1, 3), (530, 'C. N. Yang', 1, 3), (548, 'Spontaneous magnetization', 1, 3), (581, 'Ising model', 1, 3)]","['Complex-valued function', 'Determinant', 'Linear map']"
French curve,"[(47, 'Metal', 0, 0), (54, 'Wood', 0, 0), (62, 'Plastic', 0, 0), (113, 'Euler spiral', 0, 0), (173, 'Technical drawing', 0, 1), (189, 'Fashion design', 0, 1), (296, 'Pencil', 0, 2), (304, 'Knife', 0, 2), (435, 'Ludwig Burmester', 0, 3)]","['Metal', 'Wood', 'Plastic', 'Euler spiral']"
Gauss map,"[(3, 'Differential geometry', 0, 0), (53, 'Carl Friedrich Gauss', 0, 0), (75, 'Surface (topology)', 0, 1), (86, 'Euclidean space', 0, 1), (112, 'Unit sphere', 0, 1), (370, 'Orientable', 1, 5), (400, 'Degree of a continuous mapping', 1, 5), (419, 'Euler characteristic', 1, 5), (529, 'Jacobian matrix and determinant', 1, 5), (579, 'Gaussian curvature', 1, 5), (607, 'Differential (calculus)', 1, 5), (651, 'Shape operator', 1, 5), (769, 'Link (knot theory)', 3, 1), (790, 'Linking number', 3, 1)]",['Differential geometry']
Global optimization,"[(35, 'Applied mathematics', 0, 0), (59, 'Numerical analysis', 0, 0), (111, 'Maxima and minima', 0, 0)]","['Applied mathematics', 'Numerical analysis', 'Maxima and minima']"
Globalization,"[(2528, 'English in the Commonwealth of Nations', 3, 6), (2550, 'American and British English spelling differences#-ise, -ize (-isation, -ization)', 3, 6), (2595, 'Foreign relations', 3, 6), (2975, 'Post-Cold War era', 3, 6), (3076, 'Transport', 3, 6), (3095, 'Information and communications technology', 3, 6), (3196, 'Trade', 3, 6), (3391, 'Disputes', 3, 6), (3404, 'International diplomacy', 3, 6), (3456, 'History of globalization', 3, 6), (3555, 'Service (economics)', 4, 4), (3613, 'Capital (economics)', 4, 4), (3864, 'Steam locomotive', 4, 4), (3882, 'Steamship', 4, 4), (3893, 'Jet engine', 4, 4), (3909, 'Container ships', 4, 4), (3989, 'Telegraph', 4, 4), (4000, 'Internet', 4, 4), (4010, 'Mobile phones', 4, 4), (4029, 'Smartphones', 4, 4), (4220, 'History of globalization', 5, 3), (4248, 'Modernity', 5, 3), (4315, 'Age of Discovery', 5, 3), (4351, 'New World', 5, 3), (4645, 'Sociologist', 5, 3), (4657, 'Saskia Sassen', 5, 3), (4748, 'International Monetary Fund', 6, 3), (4840, 'Financial transaction', 6, 3), (4854, 'Capital (economics)', 6, 3), (4866, 'Investment', 6, 3), (4888, 'Human migration', 6, 3), (5011, 'Business', 6, 3), (5024, 'Employment', 6, 3), (5183, 'Economic globalization', 6, 3), (5207, 'Cultural globalization', 6, 3), (5235, 'Political globalization', 6, 3)]","['English in the Commonwealth of Nations', 'American and British English spelling differences#-ise, -ize (-isation, -ization)', 'Foreign relations', 'Post-Cold War era', 'Transport']"
Golden rectangle,"[(3, 'Geometry', 0, 0), (22, 'Rectangle', 0, 0), (77, 'Golden ratio', 0, 0), (354, 'Self-similarity', 1, 1)]","['Rectangle', 'Golden ratio']"
Grandi's series,"[(3, 'Mathematics', 0, 0), (20, 'Infinite series', 0, 0), (241, 'Guido Grandi', 2, 2), (317, 'Divergent series', 2, 3), (406, 'Ces%C3%A0ro summation', 2, 3)]",['Infinite series']
Graph of a function,"[(3, 'Mathematics', 0, 0), (82, 'Ordered pair', 0, 0), (287, 'Real number', 0, 2), (317, 'Cartesian coordinates', 0, 2), (352, 'Two-dimensional space', 0, 2), (480, 'Domain of a function', 1, 1), (587, 'Ordered triple', 1, 2), (832, 'Three-dimensional space', 1, 2), (874, 'Real-valued function', 1, 2), (926, 'Surface (mathematics)', 1, 2), (938, 'Science', 2, 2), (947, 'Engineering', 2, 2), (960, 'Technology', 2, 2), (972, 'Finance', 2, 2), (1126, 'Rectangular coordinate system', 2, 2), (1222, 'Relation (mathematics)', 3, 6), (1247, 'Foundations of mathematics', 3, 6), (1294, 'Set theory', 3, 6), (1400, 'Map (mathematics)', 3, 6), (1533, 'Codomain', 3, 6), (1588, 'Surjective function', 3, 6)]",['Ordered pair']
Half-exponential function,"[(3, 'Mathematics', 0, 0), (49, 'Functional square root', 0, 0), (23, 'Exponential function', 0, 0), (35, 'Function (mathematics)', 0, 0), (186, 'Function composition', 0, 1)]","['Functional square root', 'Exponential function', 'Function (mathematics)']"
Half-life,"[(713, 'Nuclear physics', 2, 5), (762, 'Atom', 2, 5), (776, 'Radioactive decay', 2, 5), (893, 'Exponential decay', 2, 5), (918, 'Rate law', 2, 5), (989, 'Biological half-life', 2, 5), (1111, 'Doubling time', 2, 5), (1173, 'Ernest Rutherford', 3, 2), (1329, 'Chemical element', 3, 2), (1423, 'Radium', 3, 2), (1433, 'Lead-206', 3, 2), (1534, 'Characteristic unit', 4, 2)]","['Nuclear physics', 'Atom', 'Radioactive decay', 'Exponential decay', 'Rate law']"
Harmonic scale,"[(37, 'Musical scale', 0, 0), (69, 'Just intonation', 0, 0), (95, 'Limit (music)', 0, 0), (4, 'Harmonic', 0, 0), (151, 'Modulation (music)', 0, 0), (181, 'Synthesizer', 0, 0), (195, 'Transposition (music)', 0, 1), (214, 'Tuning table', 0, 1), (362, 'Fundamental frequency', 1, 0), (1154, 'Wendy Carlos', 5, 2), (1328, 'Ezra Sims', 5, 2)]","['Musical scale', 'Just intonation', 'Limit (music)', 'Harmonic', 'Modulation (music)']"
Helmholtz equation,"[(20, 'Eigenvalue', 0, 0), (47, 'Laplace operator', 0, 0), (129, 'Partial differential equation', 0, 1), (391, 'Wave number', 0, 2), (483, 'Wave equation', 0, 3), (505, 'Diffusion equation', 0, 3)]","['Eigenvalue', 'Laplace operator']"
History of logarithms,"[(79, 'Group isomorphism', 0, 0), (128, 'Positive real numbers', 0, 0), (170, 'Real number line', 0, 0), (328, 'Napierian logarithm', 0, 1), (379, 'E. W. Hobson', 0, 2), (486, 'Henry Briggs (mathematician)', 0, 6), (510, 'Common logarithm', 0, 6), (565, 'Mathematical table', 0, 7), (690, 'Slide rule', 0, 8), (800, 'Natural logarithm', 0, 9), (866, 'Area', 0, 9), (881, 'Rectangular hyperbola', 0, 9), (943, 'Function (mathematics)', 0, 9)]","['Group isomorphism', 'Positive real numbers', 'Real number line']"
History of the function concept,"[(4, 'Mathematics', 0, 0), (30, 'Function (mathematics)', 0, 0), (109, 'Calculus', 0, 0), (229, 'Graph of a function', 0, 0), (481, 'Oresme', 0, 1), (577, 'Analytic expression', 1, 2), (662, 'Mathematical analysis', 1, 2), (674, 'Weierstrass', 1, 2), (719, 'Geometry', 1, 2), (771, 'Set theory', 1, 2), (785, 'Georg Cantor', 1, 2), (771, 'Set (mathematics)', 1, 2)]","['Function (mathematics)', 'Calculus', 'Graph of a function']"
Horizontal convective rolls,"[(187, 'Planetary boundary layer', 0, 0), (772, 'Paisley (design)', 0, 4), (882, 'Von K%C3%A1rm%C3%A1n vortex street', 0, 5)]",['Planetary boundary layer']
Horizontal line test,"[(3, 'Mathematics', 0, 0), (79, 'Function (mathematics)', 0, 0), (91, 'Injective', 0, 0)]","['Function (mathematics)', 'Injective']"
Icon (computing),"[(79, 'Computing', 1, 0), (103, 'Pictogram', 1, 0), (116, 'Ideogram', 1, 0), (140, 'Computer screen', 1, 1), (193, 'Computer system', 1, 1), (266, 'Software', 1, 1), (296, 'Data file', 1, 1), (351, 'Traffic sign', 1, 2), (380, 'Illustration', 1, 2), (462, 'Hyperlink', 1, 3), (475, 'File shortcut', 1, 3), (594, 'Voice command', 1, 4), (941, 'Graphical user interface', 2, 1), (1010, 'Window (computing)', 2, 1), (1019, 'Menu (computing)', 2, 1), (1031, 'Pointing device', 2, 1), (1095, 'History of the graphical user interface', 2, 1), (1167, 'Text-based interface', 2, 1)]","['Computing', 'Pictogram', 'Ideogram']"
Infinite product,"[(3, 'Mathematics', 0, 0), (22, 'Sequence', 0, 0), (234, 'Limit of a sequence', 2, 6), (247, 'Multiplication#Capital pi notation', 2, 6), (505, 'Infinite series', 2, 8), (933, 'Pi', 3, 0), (988, 'Vi%C3%A8te', 3, 0), (995, 'Vi%C3%A8te%27s formula', 3, 0), (1069, 'John Wallis', 3, 0), (1082, 'Wallis product', 3, 0)]",['Sequence']
Integer sequence,"[(3, 'Mathematics', 0, 0), (27, 'Sequence', 0, 0), (77, 'Integer', 0, 2), (291, 'Fibonacci number', 1, 4), (747, 'Perfect number', 2, 2)]",['Sequence']
Interest rate,"[(3681, 'Interest', 2, 2), (3808, 'Principal sum', 2, 2), (4181, 'Rate of return#Annualization', 3, 2)]",['Principal sum']
Intermediate value theorem,"[(3, 'Mathematical analysis', 0, 0), (105, 'Continuous function', 0, 0), (116, 'Function (mathematics)', 0, 0), (131, 'Domain of a function', 0, 0), (151, 'Interval (mathematics)', 0, 0), (345, 'Corollary', 1, 0)]","['Mathematical analysis', 'Continuous function', 'Function (mathematics)', 'Domain of a function', 'Interval (mathematics)']"
Inverse hyperbolic functions,"[(4, 'Mathematics', 1, 0), (58, 'Inverse function', 1, 0), (29, 'Hyperbolic function', 1, 0), (222, 'Hyperbolic angle', 2, 1), (289, 'Area', 2, 1), (315, 'Hyperbolic sector', 2, 1), (340, 'Hyperbola', 2, 1), (411, 'Unit hyperbola', 2, 1), (449, 'Angle', 2, 2), (489, 'Circular sector', 2, 2), (512, 'Unit circle', 2, 2), (728, 'Hyperbolic geometry', 3, 3), (796, 'Differential equation', 3, 3), (852, 'Catenary', 3, 3), (863, 'Cubic function#Hyperbolic solution for one real root', 3, 3), (884, 'Laplace%27s equation', 3, 3), (906, 'Cartesian coordinates', 3, 3), (929, 'Laplace%27s equation', 3, 3), (980, 'Physics', 3, 3), (999, 'Electromagnetic theory', 3, 3), (1023, 'Heat transfer', 3, 3), (1038, 'Fluid dynamics', 3, 3), (1058, 'Special relativity', 3, 3)]","['Inverse function', 'Hyperbolic function']"
Inverse trigonometric functions,"[(289, 'Mathematics', 2, 1), (470, 'Inverse function', 2, 2), (314, 'Trigonometric functions', 2, 1), (545, 'Domain of a function', 2, 2), (598, 'Sine', 2, 3), (604, 'Cosine', 2, 3), (612, 'Tangent (trigonometry)', 2, 3), (621, 'Cotangent', 2, 3), (632, 'Secant (trigonometry)', 2, 3), (644, 'Cosecant', 2, 3), (797, 'Engineering', 2, 3), (810, 'Navigation', 2, 3), (822, 'Physics', 2, 3), (835, 'Geometry', 2, 3)]",['Trigonometric functions']
Irrational number,"[(3, 'Mathematics', 0, 0), (49, 'Prefix', 0, 0), (93, 'Privative', 0, 0), (128, 'Real number', 0, 0), (22, 'Rational number', 0, 0), (240, 'Integer', 0, 1), (22, 'Ratio', 0, 0), (646, 'Pi', 1, 2), (628, 'E (mathematical constant)', 1, 2), (728, 'Golden ratio', 1, 2), (739, 'Square root of two', 1, 2), (792, 'Natural number', 1, 2), (823, 'Square number', 1, 2), (921, 'Positional notation', 2, 6), (1052, 'Repeating decimal', 2, 6), (1484, 'Continued fraction#Infinite continued fractions and convergents', 3, 1), (1561, 'Cantor%27s diagonal argument', 4, 1), (1602, 'Uncountable', 4, 1), (1622, 'Rational number', 4, 1), (1659, 'Almost all', 4, 1)]","['Prefix', 'Privative', 'Real number', 'Rational number', 'Ratio']"
Iteration,"[(250, 'Mathematics', 2, 1), (266, 'Computer science', 2, 1), (331, 'Recursion', 2, 1), (367, 'Algorithm', 2, 1)]","['Recursion', 'Algorithm']"
Knot (mathematics),"[(3, 'Mathematics', 0, 0), (29, 'Embedding', 0, 0), (46, 'Circle#Topological definition', 0, 0), (79, 'Euclidean space', 0, 0), (174, 'Ambient isotopy', 0, 1), (369, 'Knot', 1, 2), (785, 'Knot theory', 1, 4), (823, 'Graph theory', 1, 4)]","['Embedding', 'Circle#Topological definition', 'Euclidean space']"
Knowledge space,"[(3, 'Mathematical psychology', 0, 0), (31, 'Education theory', 0, 0), (72, 'Combinatorics', 0, 0), (86, 'Data structure', 0, 0), (114, 'Mathematical model', 0, 0), (172, 'Learning', 0, 0), (229, '/w/index.php?title=Jean-Paul Doignon&action=edit&redlink=1', 0, 1), (251, 'Jean-Claude Falmagne', 0, 1), (368, 'Automated tutoring', 0, 2), (399, 'ALEKS', 0, 2), (424, '/w/index.php?title=RATH&action=edit&redlink=1', 0, 2), (501, 'Set (mathematics)', 1, 4), (568, 'Mastery', 1, 4), (676, 'Competence (human resources)', 1, 5), (999, 'Antimatroid', 1, 5), (1109, 'Latent class model', 2, 1)]","['Mathematical psychology', 'Education theory', 'Combinatorics', 'Data structure', 'Mathematical model']"
Leading-order term,"[(50, 'Mathematics', 0, 0), (63, 'Equation', 0, 0), (73, 'Expression (mathematics)', 0, 0), (87, 'Mathematical model', 0, 0), (18, 'Term (logic)', 0, 0), (124, 'Order of magnitude', 0, 0), (221, 'Variable (mathematics)', 0, 1)]","['Equation', 'Expression (mathematics)', 'Mathematical model', 'Term (logic)', 'Order of magnitude']"
Level-set method,"[(61, 'Level set', 0, 0), (86, 'Numerical analysis', 0, 0), (108, 'Surface (topology)', 0, 0), (121, 'Shape', 0, 0), (223, 'Curve', 0, 1), (108, 'Surface (topology)', 0, 0), (254, 'Cartesian grid', 0, 1), (287, 'Parametric surface', 0, 1), (433, 'Topology', 0, 2), (642, 'Airbag', 0, 3), (2102, 'Closed curve', 3, 1), (2349, 'Level set', 3, 1)]","['Level set', 'Numerical analysis', 'Surface (topology)', 'Shape', 'Surface (topology)']"
Linear model,"[(3, 'Statistics', 0, 0), (203, 'Linear regression', 0, 1), (263, 'Time series analysis', 0, 2), (455, 'Statistical theory', 0, 3)]",['Linear regression']
Local optimum,"[(3, 'Applied mathematics', 0, 0), (27, 'Computer science', 0, 0), (67, 'Optimization problem', 0, 0), (126, 'Maxima and minima', 0, 0), (155, 'Neighbourhood (mathematics)', 0, 0), (220, 'Global optimum', 0, 1), (272, 'Solution space', 0, 1)]","['Applied mathematics', 'Optimization problem', 'Maxima and minima', 'Neighbourhood (mathematics)']"
Logarithm,"[(2404, 'Mathematics', 2, 4), (2438, 'Inverse function', 2, 4), (2458, 'Exponentiation', 2, 4), (2458, 'Exponent', 2, 4), (2874, 'Big O notation', 2, 4), (2937, 'Common logarithm', 3, 4), (3007, 'Natural logarithm', 3, 4), (3040, 'E (mathematical constant)', 3, 4), (3104, 'Physics', 3, 4), (3140, 'Derivative', 3, 4), (3156, 'Binary logarithm', 3, 4), (3211, 'Computer science', 3, 4), (3259, 'John Napier', 4, 3), (3386, 'Surveying', 4, 3), (3464, 'Mathematical table#Tables of logarithms', 4, 3), (3623, 'Product (mathematics)', 4, 3), (3638, 'Summation', 4, 3), (3847, 'Slide rule', 6, 3), (3999, 'Leonhard Euler', 6, 3), (4041, 'Exponential function', 6, 3), (4158, 'Logarithmic scale', 7, 5), (4244, 'Decibel', 7, 5), (4262, 'Units of measurement', 7, 5), (4283, 'Level (logarithmic quantity)', 7, 5), (4352, 'Sound pressure', 7, 5), (4403, 'PH', 7, 5), (4439, 'Acid', 7, 5), (4453, 'Aqueous solution', 7, 5), (4512, 'Formula', 7, 5), (4549, 'Computational complexity theory', 7, 5), (4606, 'Fractal', 7, 5), (4638, 'Frequency', 7, 5), (4658, 'Interval (music)', 7, 5), (4705, 'Prime number', 7, 5), (4722, 'Stirling%27s approximation', 7, 5), (4736, 'Factorial', 7, 5), (4770, 'Psychophysics', 7, 5), (4800, 'Forensic accounting', 7, 5), (5027, 'Complex logarithm', 8, 4), (4853, 'Inverse function', 8, 4), (5125, 'Discrete logarithm', 8, 4), (5233, 'Public-key cryptography', 8, 4)]","['Inverse function', 'Exponentiation', 'Exponent', 'Big O notation']"
Logarithmic derivative,"[(1766, 'Mathematics', 1, 2), (1795, 'Calculus', 1, 2), (1808, 'Complex analysis', 1, 2), (1858, 'Function (mathematics)', 1, 2), (1842, 'Derivative', 1, 2), (2052, 'Relative change', 1, 2), (2231, 'Real numbers', 2, 1), (2273, 'Positive number', 2, 1), (2339, 'Natural logarithm', 2, 1), (2394, 'Chain rule', 2, 1)]","['Calculus', 'Complex analysis', 'Function (mathematics)', 'Derivative', 'Relative change']"
Logarithmic growth,"[(3, 'Mathematics', 0, 0), (16, 'Logarithm', 0, 0), (299, 'Exponential growth', 0, 5), (399, 'Positional notation', 1, 3), (561, 'Partial sum', 1, 3), (581, 'Harmonic series (mathematics)', 1, 3), (787, 'Algorithm', 3, 2), (864, 'Linearithmic', 3, 2), (948, 'Time complexity', 3, 2), (995, 'Binary search', 3, 2), (1074, 'Martingale (roulette system)', 4, 3), (1229, 'St. Petersburg paradox', 4, 3), (1259, 'Microbiology', 5, 3), (1323, 'Cell culture', 5, 3), (1388, 'Bacterial growth', 5, 3), (1666, 'Logarithmic scale', 5, 3)]",['Logarithm']
Logistic function,"[(67, 'Sigmoid function', 1, 0), (350, 'Supremum', 5, 0), (531, 'Real number', 7, 1), (1010, 'Biology', 8, 2), (1030, 'Ecology', 8, 2), (1040, 'Biomathematics', 8, 2), (1056, 'Chemistry', 8, 2), (1067, 'Demography', 8, 2), (1079, 'Economics', 8, 2), (1090, 'Geoscience', 8, 2), (1102, 'Mathematical psychology', 8, 2), (1127, 'Probability', 8, 2), (1140, 'Sociology', 8, 2), (1151, 'Political science', 8, 2), (1170, 'Linguistics', 8, 2), (1183, 'Statistics', 8, 2), (1199, 'Artificial neural network', 8, 2), (1276, 'Hyperbolastic functions', 8, 2), (1524, 'Logit', 9, 2)]",['Sigmoid function']
Long division,"[(3, 'Arithmetic', 0, 0), (43, 'Division algorithm', 0, 0), (96, 'Hindu%E2%80%93Arabic numeral system', 0, 0), (119, 'Positional notation', 0, 0), (20, 'Division (mathematics)', 0, 0), (299, 'Division (mathematics)', 1, 2), (343, 'Divisor', 1, 2), (383, 'Quotient', 1, 2), (559, 'Short division', 1, 3), (665, 'Chunking (division)', 1, 4), (1000, 'Henry Briggs (mathematician)', 2, 2)]","['Arithmetic', 'Division algorithm', 'Hindu%E2%80%93Arabic numeral system', 'Positional notation', 'Division (mathematics)']"
Lowest common denominator,"[(3, 'Mathematics', 0, 0), (99, 'Least common multiple', 0, 0), (129, 'Denominator', 0, 0), (154, 'Fraction (mathematics)', 0, 0)]","['Least common multiple', 'Denominator', 'Fraction (mathematics)']"
Machine learning,"[(2663, 'Artificial intelligence', 2, 2), (2762, 'Training data', 3, 2), (2961, 'Email filtering', 3, 2), (2978, 'Speech recognition', 3, 2), (2998, 'Agriculture', 3, 2), (3015, 'Computer vision', 3, 2), (3189, 'Computational statistics', 4, 3), (3335, 'Mathematical optimization', 4, 3), (3444, 'Data mining', 4, 3), (3497, 'Exploratory data analysis', 4, 3), (3531, 'Unsupervised learning', 4, 3), (3614, 'Neural networks', 5, 1), (3668, 'Brain', 5, 1), (3777, 'Predictive analytics', 6, 1)]",[]
Malthusian growth model,"[(53, 'Exponential growth', 0, 0), (233, 'Thomas Robert Malthus', 0, 1), (364, 'Population', 0, 1), (1033, 'Population ecology', 8, 4), (1059, 'First principle', 8, 4), (1078, 'Population dynamics', 8, 4), (1107, 'Malthus', 8, 4), (1299, 'Newton%27s First Law', 8, 4), (2374, 'Pierre Francois Verhulst', 11, 2), (2469, 'Logistic function', 11, 2)]",['Exponential growth']
Maximum principle,"[(30, 'Partial differential equations', 0, 0), (65, 'Geometric analysis', 0, 0), (198, 'Elliptic partial differential equation', 0, 0), (211, 'Parabolic partial differential equation', 0, 0), (1171, 'Gradient', 4, 4), (1291, 'Convex optimization', 5, 1), (1380, 'Convex function', 5, 1), (1401, 'Compact set', 5, 1), (1409, 'Convex set', 5, 1), (1439, 'Boundary (topology)', 5, 1)]","['Partial differential equations', 'Geometric analysis', 'Elliptic partial differential equation', 'Parabolic partial differential equation']"
Mersenne prime,"[(275, 'Mathematics', 1, 3), (310, 'Prime number', 1, 3), (347, 'Power of two', 1, 4), (425, 'Integer', 1, 4), (458, 'Marin Mersenne', 1, 5), (483, 'Minims (religious order)', 1, 5), (551, 'Composite number', 1, 5), (728, 'Exponentiation', 2, 7), (828, 'On-Line Encyclopedia of Integer Sequences', 2, 7), (774, '3 (number)', 2, 7), (780, '7 (number)', 2, 7), (795, '31 (number)', 2, 7), (882, '127 (number)', 2, 7), (909, '2147483647', 2, 7), (828, 'On-Line Encyclopedia of Integer Sequences', 2, 7), (1312, '#Perfect numbers', 4, 2), (1347, 'Euclid%E2%80%93Euler theorem', 4, 2), (1626, 'Largest known prime number', 5, 4), (1767, 'Great Internet Mersenne Prime Search', 5, 4), (1807, 'Distributed computing', 5, 4)]",['Prime number']
Mind map,"[(865, 'Diagram', 1, 3), (918, 'Hierarchy', 1, 3), (1247, 'Tree structure', 1, 3), (1497, 'Spider diagram', 2, 2)]","['Diagram', 'Hierarchy', 'Tree structure']"
Mindset,"[(279, 'Worldview', 0, 2), (310, 'Meaning of life', 0, 2), (415, 'Behavior', 1, 2), (486, 'Groupthink', 1, 2), (607, 'Cognitive psychology', 2, 2)]","['Worldview', 'Meaning of life']"
